22.877185583114624 3.151087999343872 4.764909267425537
         30608331 function calls (18939287 primitive calls) in 30.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.327    0.016 ajtai.py:105(__call__)
       70    0.000    0.000    0.289    0.004 ajtai.py:107(<genexpr>)
       70    0.000    0.000    0.031    0.000 ajtai.py:108(<genexpr>)
       20    0.002    0.000    5.819    0.291 ajtai.py:113(ajtai_commitment)
      274    0.001    0.000    0.117    0.000 ajtai.py:122(<genexpr>)
       70    0.000    0.000    0.030    0.000 ajtai.py:127(<genexpr>)
   150142    0.040    0.000    0.152    0.000 ajtai.py:14(_message_to_bytes)
    75850    0.021    0.000    0.021    0.000 ajtai.py:15(<genexpr>)
       74    0.074    0.001    0.616    0.008 ajtai.py:21(hash_to_point)
      314    0.017    0.000    1.676    0.005 ajtai.py:50(_to_array)
      942    0.002    0.000    1.630    0.002 ajtai.py:52(<genexpr>)
      132    0.005    0.000    1.422    0.011 ajtai.py:57(rej_sampling)
       74    0.003    0.000    1.600    0.022 ajtai.py:82(_gen_zs)
       50    0.000    0.000    0.270    0.005 ajtai.py:92(norm)
        2    0.000    0.000    0.002    0.001 api.py:162(_typeof_locked)
    75850    0.014    0.000    0.017    0.000 api.py:180(_typeof)
    75850    0.060    0.000    0.106    0.000 api.py:242(new)
        6    0.000    0.000    0.001    0.000 api.py:433(_get_cached_btype)
        4    0.000    0.000    0.000    0.000 api.py:836(accessor_function)
        1    0.000    0.000    0.000    0.000 api.py:879(update_accessors)
        4    0.000    0.000    0.000    0.000 api.py:902(make_accessor)
        4    0.000    0.000    0.000    0.000 api.py:913(__getattr__)
      245    0.000    0.000    0.007    0.000 arrayprint.py:113(set_printoptions)
      245    0.001    0.000    0.006    0.000 arrayprint.py:298(_set_printoptions)
      245    0.002    0.000    0.004    0.000 arrayprint.py:50(_make_options_dict)
        1    0.000    0.000    0.000    0.000 assumptions.py:726(assumptions)
        3    0.000    0.000    0.000    0.000 ast.py:34(parse)
        3    0.000    0.000    0.000    0.000 ast.py:424(visit)
        9    0.000    0.000    0.000    0.000 ast_transforms.py:108(fix_atomic_specifiers)
        9    0.000    0.000    0.000    0.000 ast_transforms.py:140(_fix_atomic_specifiers_once)
        3    0.000    0.000    0.000    0.000 bimodules.py:132(left_base_ring)
        3    0.000    0.000    0.000    0.000 bimodules.py:144(right_base_ring)
        3    0.000    0.000    0.001    0.000 bimodules.py:170(super_categories)
        3    0.000    0.000    0.002    0.001 bimodules.py:41(__init__)
       12    0.000    0.000    0.000    0.000 bimodules.py:62(_make_named_class_key)
        7    0.000    0.000    0.000    0.000 c_ast.py:1014(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:1034(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:169(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:369(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:400(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:587(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:655(__init__)
       18    0.000    0.000    0.000    0.000 c_ast.py:734(__init__)
        2    0.000    0.000    0.000    0.000 c_ast.py:833(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:851(__init__)
       11    0.000    0.000    0.000    0.000 c_ast.py:994(__init__)
        4    0.000    0.000    0.000    0.000 c_lexer.py:290(t_PPHASH)
        4    0.000    0.000    0.000    0.000 c_lexer.py:304(t_ppline_FILENAME)
        4    0.000    0.000    0.000    0.000 c_lexer.py:311(t_ppline_LINE_NUMBER)
        4    0.000    0.000    0.000    0.000 c_lexer.py:320(t_ppline_NEWLINE)
        9    0.000    0.000    0.000    0.000 c_lexer.py:369(t_NEWLINE)
        1    0.000    0.000    0.000    0.000 c_lexer.py:482(t_INT_CONST_DEC)
       19    0.000    0.000    0.000    0.000 c_lexer.py:546(t_ID)
        2    0.000    0.000    0.000    0.000 c_lexer.py:67(reset_lineno)
        2    0.000    0.000    0.000    0.000 c_lexer.py:72(input)
       40    0.000    0.000    0.001    0.000 c_lexer.py:75(token)
        9    0.000    0.000    0.000    0.000 c_parser.py:1157(p_declarator)
        9    0.000    0.000    0.000    0.000 c_parser.py:1163(p_xxx_declarator_1)
        9    0.000    0.000    0.000    0.000 c_parser.py:1175(p_direct_xxx_declarator_1)
        2    0.000    0.000    0.000    0.000 c_parser.py:1241(p_direct_xxx_declarator_6)
        1    0.000    0.000    0.000    0.000 c_parser.py:1270(p_pointer)
        2    0.000    0.000    0.002    0.001 c_parser.py:130(parse)
        2    0.000    0.000    0.000    0.000 c_parser.py:1306(p_parameter_type_list)
        2    0.000    0.000    0.000    0.000 c_parser.py:1315(p_parameter_list)
        2    0.000    0.000    0.000    0.000 c_parser.py:1347(p_parameter_declaration_2)
        1    0.000    0.000    0.000    0.000 c_parser.py:1455(p_abstract_declarator_2)
        1    0.000    0.000    0.000    0.000 c_parser.py:1460(p_abstract_declarator_3)
        2    0.000    0.000    0.000    0.000 c_parser.py:1485(p_direct_abstract_declarator_3)
        7    0.000    0.000    0.000    0.000 c_parser.py:161(_add_typedef_name)
        1    0.000    0.000    0.000    0.000 c_parser.py:1641(p_typedef_name)
        1    0.000    0.000    0.000    0.000 c_parser.py:1645(p_assignment_expression)
        1    0.000    0.000    0.000    0.000 c_parser.py:1678(p_conditional_expression)
        1    0.000    0.000    0.000    0.000 c_parser.py:1687(p_binary_expression)
        2    0.000    0.000    0.000    0.000 c_parser.py:170(_add_identifier)
        1    0.000    0.000    0.000    0.000 c_parser.py:1713(p_cast_expression_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1721(p_unary_expression_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1752(p_postfix_expression_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1791(p_primary_expression_2)
       10    0.000    0.000    0.000    0.000 c_parser.py:180(_is_type_in_scope)
